Incident ID,Stolen,Type,index
1518371, Unknown, 223 Rem [AR-15],0.0
1518231, Unknown, Unknown,0.0
1517829, Unknown, Unknown,0.0
1514977, Unknown, Unknown,0.0
1516010, Unknown, Unknown,0.0
1517121, Unknown, Unknown,0.0
1514325, Unknown, Unknown,0.0
1514551, Unknown, Unknown,0.0
1514882, Unknown, Unknown,0.0
1515789, Unknown, Unknown,0.0
1513593, Unknown, Handgun,0.0
1513245, Unknown, Unknown,0.0
1511659, Unknown, Unknown,0.0
1510614, Unknown, Unknown,0.0
1510100, Unknown, Unknown,0.0
1509900, Unknown, Unknown,0.0
1510638, Unknown, Unknown,0.0
1509846, Unknown, Handgun,0.0
1510287, Unknown, Unknown,0.0
1508966, Unknown, Unknown,0.0
1509396, Unknown, Unknown,0.0
1505328, Unknown, Unknown,0.0
1504831, Unknown, Unknown,0.0
1505857, Unknown, Unknown,0.0
1504579, Unknown, 22 LR,0.0
1504589, Stolen, 9mm,0.0
1504608, Unknown, Unknown,0.0
1508282, Unknown, Unknown,0.0
1503313, Unknown, Shotgun,0.0
1501825, Unknown, Unknown,0.0
1501040, Unknown, Unknown,0.0
1501128, Unknown, Unknown,0.0
1501663, Unknown, Unknown,0.0
1500180, Stolen, 40 SW,0.0
1500448, Unknown, Unknown,0.0
1499717, Unknown, Unknown,0.0
1499662, Unknown, Unknown,0.0
1499261, Unknown, Handgun,0.0
1498633, Unknown, Unknown,0.0
1498874, Unknown, 12 gauge,0.0
1498704, Unknown, Unknown,0.0
1497137, Unknown, Unknown,0.0
1497702, Unknown, Unknown,0.0
1495230, Unknown, Unknown,0.0
1494710, Unknown, Unknown,0.0
1494697, Unknown, Unknown,0.0
1496770, Unknown, Unknown,0.0
1495624, Unknown, Unknown,0.0
1494052, Unknown, Unknown,0.0
1494378, Unknown, Unknown,0.0
1492441, Not-stolen, Unknown,0.0
1492886, Unknown, Unknown,0.0
1491803, Unknown, Unknown,0.0
1491963, Unknown, Unknown,0.0
1493993, Unknown, Unknown,0.0
1490279, Unknown, Unknown,0.0
1490218, Unknown, Shotgun,0.0
1489191, Unknown, Unknown,0.0
1490085, Unknown, Rifle,0.0
1489159, Unknown, Unknown,0.0
1489482, Unknown, Unknown,0.0
1490403, Unknown, Unknown,0.0
1497258, Unknown, Unknown,0.0
1489027, Unknown, Unknown,0.0
1490680, Unknown, Unknown,0.0
1487177, Unknown, Unknown,0.0
1485066, Unknown, Unknown,0.0
1485776, Unknown, Unknown,0.0
